fund_name,fund_id,month,monthly_net_flow
Total Market Index Fund 11,11,2021-04-01,4512.14
Total Market Index Fund 47,47,2021-04-01,827.41
Value Opportunities Fund 06,6,2021-04-01,40121.78
Active Growth Fund 10,10,2021-05-01,116525.01
Core Equity ETF Fund 12,12,2021-05-01,15827.67
Core Equity ETF Fund 27,27,2021-05-01,-17491.99
Core Equity ETF Fund 38,38,2021-05-01,18256.53
Core Plus Bond Fund 21,21,2021-05-01,1216.79
Core Plus Bond Fund 40,40,2021-05-01,2383.55
Core Plus Bond Fund 43,43,2021-05-01,-34516.66
Dividend ETF Fund 09,9,2021-05-01,25509.03
Dividend ETF Fund 23,23,2021-05-01,20222.82
Dividend ETF Fund 28,28,2021-05-01,69930.36
Federal Money Market Fund 25,25,2021-05-01,-70287.4
Global Equity Fund 50,50,2021-05-01,-107221.94
Growth ETF Fund 03,3,2021-05-01,113755.03
Growth ETF Fund 22,22,2021-05-01,-3320.07
Growth ETF Fund 37,37,2021-05-01,46103.86
Growth ETF Fund 46,46,2021-05-01,2634.67
International ETF Fund 24,24,2021-05-01,-2349706.78
International ETF Fund 33,33,2021-05-01,31870.68
International ETF Fund 44,44,2021-05-01,846.41
International ETF Fund 45,45,2021-05-01,16527.55
International Index Fund 19,19,2021-05-01,131030.17
International Index Fund 26,26,2021-05-01,648445.48
International Index Fund 49,49,2021-05-01,-1742.4
Large Cap Index Fund 07,7,2021-05-01,-6744.0
Large Cap Index Fund 08,8,2021-05-01,2001124.33
Large Cap Index Fund 18,18,2021-05-01,11687.28
Municipal Bond Fund 13,13,2021-05-01,-205736.8
Municipal Bond Fund 30,30,2021-05-01,7927.81
Municipal Bond Fund 31,31,2021-05-01,1058.49
Prime Cash Reserves Fund 02,2,2021-05-01,34154.09
Prime Cash Reserves Fund 29,29,2021-05-01,1968.33
Prime Cash Reserves Fund 51,51,2021-05-01,13376.87
Short Term Bond Fund 32,32,2021-05-01,66382.18
Short Term Bond Fund 41,41,2021-05-01,22365.66
Small Cap Index Fund 01,1,2021-05-01,14781.41
Small Cap Index Fund 20,20,2021-05-01,17698.12
Small Cap Index Fund 35,35,2021-05-01,-15293.98
Target Retirement 2030 Fund 16,16,2021-05-01,2171768.9
Target Retirement 2030 Fund 34,34,2021-05-01,16969.37
Target Retirement 2040 Fund 15,15,2021-05-01,795496.63
Target Retirement 2040 Fund 52,52,2021-05-01,452137.88
Target Retirement 2050 Fund 05,5,2021-05-01,560958.32
Total Bond Fund 04,4,2021-05-01,43723.63
Total Market Index Fund 11,11,2021-05-01,19223.89
Total Market Index Fund 39,39,2021-05-01,-4027.34
Total Market Index Fund 47,47,2021-05-01,7139.29
Value Opportunities Fund 06,6,2021-05-01,-1821768.84
Active Growth Fund 10,10,2021-06-01,112665.49
Active Growth Fund 14,14,2021-06-01,97438.59
Active Growth Fund 17,17,2021-06-01,-29156.48
Core Equity ETF Fund 12,12,2021-06-01,28223.23
Core Equity ETF Fund 27,27,2021-06-01,38807.85
Core Equity ETF Fund 38,38,2021-06-01,90880.76
Core Plus Bond Fund 21,21,2021-06-01,45405.53
Core Plus Bond Fund 40,40,2021-06-01,-90991.03
Core Plus Bond Fund 43,43,2021-06-01,71030.53
Dividend ETF Fund 09,9,2021-06-01,12592.5
Dividend ETF Fund 23,23,2021-06-01,5577.56
Dividend ETF Fund 28,28,2021-06-01,81642.23
Federal Money Market Fund 25,25,2021-06-01,-856008.71
Global Equity Fund 36,36,2021-06-01,39058.95
Global Equity Fund 50,50,2021-06-01,61344.75
Growth ETF Fund 03,3,2021-06-01,90563.11
Growth ETF Fund 22,22,2021-06-01,13231.44
Growth ETF Fund 37,37,2021-06-01,16092.8
Growth ETF Fund 42,42,2021-06-01,1275.72
Growth ETF Fund 46,46,2021-06-01,-31736.81
International ETF Fund 24,24,2021-06-01,-6605481.97
International ETF Fund 33,33,2021-06-01,32919.95
International ETF Fund 44,44,2021-06-01,2038.35
International ETF Fund 45,45,2021-06-01,78166.43
International Index Fund 19,19,2021-06-01,15513.46
International Index Fund 26,26,2021-06-01,-600599.05
International Index Fund 49,49,2021-06-01,8894.26
Large Cap Index Fund 07,7,2021-06-01,-5295.63
Large Cap Index Fund 08,8,2021-06-01,-376258.12
Large Cap Index Fund 18,18,2021-06-01,-3472.97
Large Cap Index Fund 48,48,2021-06-01,-3.99
Municipal Bond Fund 13,13,2021-06-01,2033189.6
Municipal Bond Fund 30,30,2021-06-01,-71782.37
Municipal Bond Fund 31,31,2021-06-01,-180071.74
Prime Cash Reserves Fund 02,2,2021-06-01,-5883.35
Prime Cash Reserves Fund 29,29,2021-06-01,-2616.04
Prime Cash Reserves Fund 51,51,2021-06-01,-99445.79
Short Term Bond Fund 32,32,2021-06-01,-499829.91
Short Term Bond Fund 41,41,2021-06-01,40673.13
Small Cap Index Fund 01,1,2021-06-01,31765.77
Small Cap Index Fund 20,20,2021-06-01,-199518.6
Small Cap Index Fund 35,35,2021-06-01,10387.72
Target Retirement 2030 Fund 16,16,2021-06-01,519030.54
Target Retirement 2030 Fund 34,34,2021-06-01,426935.45
Target Retirement 2040 Fund 15,15,2021-06-01,-229233.11
Target Retirement 2040 Fund 52,52,2021-06-01,728149.97
Target Retirement 2050 Fund 05,5,2021-06-01,599472.38
Total Bond Fund 04,4,2021-06-01,-31455.94
Total Market Index Fund 11,11,2021-06-01,7907.77
Total Market Index Fund 39,39,2021-06-01,6010.5
Total Market Index Fund 47,47,2021-06-01,37166.66
Value Opportunities Fund 06,6,2021-06-01,-21212.34
Active Growth Fund 10,10,2021-07-01,2308.44
Active Growth Fund 14,14,2021-07-01,400.82
Active Growth Fund 17,17,2021-07-01,-49383.51
Core Equity ETF Fund 12,12,2021-07-01,10959.38
Core Equity ETF Fund 27,27,2021-07-01,20758.45
Core Equity ETF Fund 38,38,2021-07-01,82476.36
Core Plus Bond Fund 21,21,2021-07-01,1896290.76
Core Plus Bond Fund 40,40,2021-07-01,-20931.44
Core Plus Bond Fund 43,43,2021-07-01,6492.25
Dividend ETF Fund 09,9,2021-07-01,22017.5
Dividend ETF Fund 23,23,2021-07-01,66535.73
Dividend ETF Fund 28,28,2021-07-01,183452.56
Federal Money Market Fund 25,25,2021-07-01,-71673.73
Global Equity Fund 36,36,2021-07-01,-10631.67
Global Equity Fund 50,50,2021-07-01,177510.16
Growth ETF Fund 03,3,2021-07-01,87777.23
Growth ETF Fund 22,22,2021-07-01,23413.14
Growth ETF Fund 37,37,2021-07-01,-14532.65
Growth ETF Fund 42,42,2021-07-01,5490.07
Growth ETF Fund 46,46,2021-07-01,679071.29
International ETF Fund 24,24,2021-07-01,699628.48
International ETF Fund 33,33,2021-07-01,19698.89
International ETF Fund 44,44,2021-07-01,28125.42
International ETF Fund 45,45,2021-07-01,399637.61
International Index Fund 19,19,2021-07-01,-5558.0
International Index Fund 26,26,2021-07-01,1442536.51
International Index Fund 49,49,2021-07-01,676789.89
Large Cap Index Fund 07,7,2021-07-01,15023.63
Large Cap Index Fund 08,8,2021-07-01,-849886.83
Large Cap Index Fund 18,18,2021-07-01,-638930.44
Large Cap Index Fund 48,48,2021-07-01,48493.13
Municipal Bond Fund 13,13,2021-07-01,-340740.83
Municipal Bond Fund 30,30,2021-07-01,164090.2
Municipal Bond Fund 31,31,2021-07-01,-78660.18
Prime Cash Reserves Fund 02,2,2021-07-01,-81088.43
Prime Cash Reserves Fund 29,29,2021-07-01,-84313.4
Prime Cash Reserves Fund 51,51,2021-07-01,-812468.57
Short Term Bond Fund 32,32,2021-07-01,336491.48
Short Term Bond Fund 41,41,2021-07-01,3187.87
Small Cap Index Fund 01,1,2021-07-01,35245.22
Small Cap Index Fund 20,20,2021-07-01,-89020.3
Small Cap Index Fund 35,35,2021-07-01,5598.7
Target Retirement 2030 Fund 16,16,2021-07-01,961128.72
Target Retirement 2030 Fund 34,34,2021-07-01,396120.82
Target Retirement 2040 Fund 15,15,2021-07-01,2109176.36
Target Retirement 2040 Fund 52,52,2021-07-01,-927297.69
Target Retirement 2050 Fund 05,5,2021-07-01,673961.32
Total Bond Fund 04,4,2021-07-01,-69343.81
Total Market Index Fund 11,11,2021-07-01,10763.95
Total Market Index Fund 39,39,2021-07-01,12785.87
Total Market Index Fund 47,47,2021-07-01,41627.33
Value Opportunities Fund 06,6,2021-07-01,864617.91
Active Growth Fund 10,10,2021-08-01,174382.64
Active Growth Fund 14,14,2021-08-01,52539.67
Active Growth Fund 17,17,2021-08-01,-2633.02
Core Equity ETF Fund 12,12,2021-08-01,33085.42
Core Equity ETF Fund 27,27,2021-08-01,2332789.09
Core Equity ETF Fund 38,38,2021-08-01,121620.45
Core Plus Bond Fund 21,21,2021-08-01,-1301362.7
Core Plus Bond Fund 40,40,2021-08-01,-62266.74
Core Plus Bond Fund 43,43,2021-08-01,77172.35
Dividend ETF Fund 09,9,2021-08-01,-4307.79
Dividend ETF Fund 23,23,2021-08-01,6354214.01
Dividend ETF Fund 28,28,2021-08-01,88953.78
Federal Money Market Fund 25,25,2021-08-01,282266.79
Global Equity Fund 36,36,2021-08-01,41535.55
Global Equity Fund 50,50,2021-08-01,114273.48
Growth ETF Fund 03,3,2021-08-01,49219.67
Growth ETF Fund 22,22,2021-08-01,-1243063.3
Growth ETF Fund 37,37,2021-08-01,-881.8
Growth ETF Fund 42,42,2021-08-01,598487.69
Growth ETF Fund 46,46,2021-08-01,1480377.9
International ETF Fund 24,24,2021-08-01,-729051.83
International ETF Fund 33,33,2021-08-01,84901.56
International ETF Fund 44,44,2021-08-01,10511.83
International ETF Fund 45,45,2021-08-01,401608.39
International Index Fund 19,19,2021-08-01,1906470.59
International Index Fund 26,26,2021-08-01,3131170.13
International Index Fund 49,49,2021-08-01,-2211433.1
Large Cap Index Fund 07,7,2021-08-01,2762604.95
Large Cap Index Fund 08,8,2021-08-01,686807.07
Large Cap Index Fund 18,18,2021-08-01,16535.86
Large Cap Index Fund 48,48,2021-08-01,178263.66
Municipal Bond Fund 13,13,2021-08-01,-275219.51
Municipal Bond Fund 30,30,2021-08-01,536346.67
Municipal Bond Fund 31,31,2021-08-01,-43207.25
Prime Cash Reserves Fund 02,2,2021-08-01,2006895.59
Prime Cash Reserves Fund 29,29,2021-08-01,57118.38
Prime Cash Reserves Fund 51,51,2021-08-01,560511.95
Short Term Bond Fund 32,32,2021-08-01,1981795.3
Short Term Bond Fund 41,41,2021-08-01,37308.7
Small Cap Index Fund 01,1,2021-08-01,9751.59
Small Cap Index Fund 20,20,2021-08-01,719771.69
Small Cap Index Fund 35,35,2021-08-01,18987.17
Target Retirement 2030 Fund 16,16,2021-08-01,-10287.93
Target Retirement 2030 Fund 34,34,2021-08-01,50417.6
Target Retirement 2040 Fund 15,15,2021-08-01,1789519.04
Target Retirement 2040 Fund 52,52,2021-08-01,273800.15
Target Retirement 2050 Fund 05,5,2021-08-01,2066548.16
Total Bond Fund 04,4,2021-08-01,75983.42
Total Market Index Fund 11,11,2021-08-01,-20984.39
Total Market Index Fund 39,39,2021-08-01,36815.13
Total Market Index Fund 47,47,2021-08-01,32625.53
Value Opportunities Fund 06,6,2021-08-01,4523471.34
Active Growth Fund 10,10,2021-09-01,109235.55
Active Growth Fund 14,14,2021-09-01,215264.19
Active Growth Fund 17,17,2021-09-01,-62133.45
Core Equity ETF Fund 12,12,2021-09-01,116542.12
Core Equity ETF Fund 27,27,2021-09-01,1307313.4
Core Equity ETF Fund 38,38,2021-09-01,126416.58
Core Plus Bond Fund 21,21,2021-09-01,370416.27
Core Plus Bond Fund 40,40,2021-09-01,540.01
Core Plus Bond Fund 43,43,2021-09-01,159938.16
Dividend ETF Fund 09,9,2021-09-01,-68293.37
Dividend ETF Fund 23,23,2021-09-01,-2262942.66
Dividend ETF Fund 28,28,2021-09-01,-41833.83
Federal Money Market Fund 25,25,2021-09-01,501277.34
Global Equity Fund 36,36,2021-09-01,4032.64
Global Equity Fund 50,50,2021-09-01,-34351.07
Growth ETF Fund 03,3,2021-09-01,175067.22
Growth ETF Fund 22,22,2021-09-01,-4700200.41
Growth ETF Fund 37,37,2021-09-01,61141.94
Growth ETF Fund 42,42,2021-09-01,-892359.16
Growth ETF Fund 46,46,2021-09-01,-333713.51
International ETF Fund 24,24,2021-09-01,-3900473.54
International ETF Fund 33,33,2021-09-01,48617.29
International ETF Fund 44,44,2021-09-01,21089.64
International ETF Fund 45,45,2021-09-01,306150.8
International Index Fund 19,19,2021-09-01,-635278.56
International Index Fund 26,26,2021-09-01,-1604470.92
International Index Fund 49,49,2021-09-01,-1700250.19
Large Cap Index Fund 07,7,2021-09-01,4896053.2
Large Cap Index Fund 08,8,2021-09-01,1036036.78
Large Cap Index Fund 18,18,2021-09-01,-93922.69
Large Cap Index Fund 48,48,2021-09-01,10291.38
Municipal Bond Fund 13,13,2021-09-01,1418829.85
Municipal Bond Fund 30,30,2021-09-01,338773.46
Municipal Bond Fund 31,31,2021-09-01,-153033.79
Prime Cash Reserves Fund 02,2,2021-09-01,-634394.94
Prime Cash Reserves Fund 29,29,2021-09-01,65405.85
Prime Cash Reserves Fund 51,51,2021-09-01,-794942.56
Short Term Bond Fund 32,32,2021-09-01,-592311.08
Short Term Bond Fund 41,41,2021-09-01,36769.09
Small Cap Index Fund 01,1,2021-09-01,336856.25
Small Cap Index Fund 20,20,2021-09-01,1427895.5
Small Cap Index Fund 35,35,2021-09-01,-3125976.88
Target Retirement 2030 Fund 16,16,2021-09-01,1041227.04
Target Retirement 2030 Fund 34,34,2021-09-01,783060.35
Target Retirement 2040 Fund 15,15,2021-09-01,1376114.85
Target Retirement 2040 Fund 52,52,2021-09-01,152091.87
Target Retirement 2050 Fund 05,5,2021-09-01,-119049.39
Total Bond Fund 04,4,2021-09-01,189921.85
Total Market Index Fund 11,11,2021-09-01,-97037.26
Total Market Index Fund 39,39,2021-09-01,49426.98
Total Market Index Fund 47,47,2021-09-01,1884318.43
Value Opportunities Fund 06,6,2021-09-01,2460613.4
Active Growth Fund 10,10,2021-10-01,249319.62
Active Growth Fund 14,14,2021-10-01,66626.01
Active Growth Fund 17,17,2021-10-01,55836.19
Core Equity ETF Fund 12,12,2021-10-01,142212.22
Core Equity ETF Fund 27,27,2021-10-01,186942.79
Core Equity ETF Fund 38,38,2021-10-01,104604.03
Core Plus Bond Fund 21,21,2021-10-01,-913954.03
Core Plus Bond Fund 40,40,2021-10-01,72924.79
Core Plus Bond Fund 43,43,2021-10-01,216591.54
Dividend ETF Fund 09,9,2021-10-01,124048.55
Dividend ETF Fund 23,23,2021-10-01,1529876.44
Dividend ETF Fund 28,28,2021-10-01,169831.29
Federal Money Market Fund 25,25,2021-10-01,2644514.31
Global Equity Fund 36,36,2021-10-01,973828.76
Global Equity Fund 50,50,2021-10-01,-215421.78
Growth ETF Fund 03,3,2021-10-01,-3121970.99
Growth ETF Fund 22,22,2021-10-01,1162487.53
Growth ETF Fund 37,37,2021-10-01,61899.8
Growth ETF Fund 42,42,2021-10-01,1097255.42
Growth ETF Fund 46,46,2021-10-01,532579.45
International ETF Fund 24,24,2021-10-01,56412.29
International ETF Fund 33,33,2021-10-01,79042.89
International ETF Fund 44,44,2021-10-01,103831.88
International ETF Fund 45,45,2021-10-01,437910.57
International Index Fund 19,19,2021-10-01,1442754.22
International Index Fund 26,26,2021-10-01,788163.98
International Index Fund 49,49,2021-10-01,2528490.97
Large Cap Index Fund 07,7,2021-10-01,729557.91
Large Cap Index Fund 08,8,2021-10-01,-271123.87
Large Cap Index Fund 18,18,2021-10-01,-483180.23
Large Cap Index Fund 48,48,2021-10-01,146360.32
Municipal Bond Fund 13,13,2021-10-01,-211112.87
Municipal Bond Fund 30,30,2021-10-01,921400.57
Municipal Bond Fund 31,31,2021-10-01,-34613.72
Prime Cash Reserves Fund 02,2,2021-10-01,473986.22
Prime Cash Reserves Fund 29,29,2021-10-01,570518.2
Prime Cash Reserves Fund 51,51,2021-10-01,4477398.51
Short Term Bond Fund 32,32,2021-10-01,-205997.75
Short Term Bond Fund 41,41,2021-10-01,165598.82
Small Cap Index Fund 01,1,2021-10-01,3396296.43
Small Cap Index Fund 20,20,2021-10-01,-1412340.61
Small Cap Index Fund 35,35,2021-10-01,1878795.66
Target Retirement 2030 Fund 16,16,2021-10-01,538790.82
Target Retirement 2030 Fund 34,34,2021-10-01,370541.2
Target Retirement 2040 Fund 15,15,2021-10-01,1732287.44
Target Retirement 2040 Fund 52,52,2021-10-01,1107369.72
Target Retirement 2050 Fund 05,5,2021-10-01,-316415.53
Total Bond Fund 04,4,2021-10-01,304310.78
Total Market Index Fund 11,11,2021-10-01,650974.62
Total Market Index Fund 39,39,2021-10-01,40143.02
Total Market Index Fund 47,47,2021-10-01,-4561730.2
Value Opportunities Fund 06,6,2021-10-01,134835.39
Active Growth Fund 10,10,2021-11-01,57503.53
Active Growth Fund 14,14,2021-11-01,153114.32
Active Growth Fund 17,17,2021-11-01,48704.18
Core Equity ETF Fund 12,12,2021-11-01,324264.43
Core Equity ETF Fund 27,27,2021-11-01,362277.8
Core Equity ETF Fund 38,38,2021-11-01,11608.08
Core Plus Bond Fund 21,21,2021-11-01,603682.96
Core Plus Bond Fund 40,40,2021-11-01,-319596.89
Core Plus Bond Fund 43,43,2021-11-01,177192.46
Dividend ETF Fund 09,9,2021-11-01,36342.95
Dividend ETF Fund 23,23,2021-11-01,1074326.63
Dividend ETF Fund 28,28,2021-11-01,1404440.76
Federal Money Market Fund 25,25,2021-11-01,1099785.12
Global Equity Fund 36,36,2021-11-01,-227033.61
Global Equity Fund 50,50,2021-11-01,-67995.62
Growth ETF Fund 03,3,2021-11-01,1856001.48
Growth ETF Fund 22,22,2021-11-01,4315060.58
Growth ETF Fund 37,37,2021-11-01,14678.4
Growth ETF Fund 42,42,2021-11-01,1065351.84
Growth ETF Fund 46,46,2021-11-01,3125672.59
International ETF Fund 24,24,2021-11-01,115192.27
International ETF Fund 33,33,2021-11-01,23562.0
International ETF Fund 44,44,2021-11-01,150791.37
International ETF Fund 45,45,2021-11-01,-457915.99
International Index Fund 19,19,2021-11-01,-2066538.4
International Index Fund 26,26,2021-11-01,135385.1
International Index Fund 49,49,2021-11-01,-4060394.26
Large Cap Index Fund 07,7,2021-11-01,1137234.96
Large Cap Index Fund 08,8,2021-11-01,952706.72
Large Cap Index Fund 18,18,2021-11-01,3013659.79
Large Cap Index Fund 48,48,2021-11-01,-196229.41
Municipal Bond Fund 13,13,2021-11-01,4485033.73
Municipal Bond Fund 30,30,2021-11-01,-264542.99
Municipal Bond Fund 31,31,2021-11-01,1993957.24
Prime Cash Reserves Fund 02,2,2021-11-01,1763523.57
Prime Cash Reserves Fund 29,29,2021-11-01,-46248.78
Prime Cash Reserves Fund 51,51,2021-11-01,4056538.12
Short Term Bond Fund 32,32,2021-11-01,1412035.87
Short Term Bond Fund 41,41,2021-11-01,256531.14
Small Cap Index Fund 01,1,2021-11-01,-227929.57
Small Cap Index Fund 20,20,2021-11-01,36172.68
Small Cap Index Fund 35,35,2021-11-01,36167.52
Target Retirement 2030 Fund 16,16,2021-11-01,635044.6
Target Retirement 2030 Fund 34,34,2021-11-01,886003.18
Target Retirement 2040 Fund 15,15,2021-11-01,3218021.16
Target Retirement 2040 Fund 52,52,2021-11-01,-329479.54
Target Retirement 2050 Fund 05,5,2021-11-01,1405098.89
Total Bond Fund 04,4,2021-11-01,-234595.17
Total Market Index Fund 11,11,2021-11-01,4904807.25
Total Market Index Fund 39,39,2021-11-01,2310393.77
Total Market Index Fund 47,47,2021-11-01,543770.52
Value Opportunities Fund 06,6,2021-11-01,-2368608.66
Active Growth Fund 10,10,2021-12-01,125720.49
Active Growth Fund 14,14,2021-12-01,95588.65
Active Growth Fund 17,17,2021-12-01,114767.14
Core Equity ETF Fund 12,12,2021-12-01,-3241942.41
Core Equity ETF Fund 27,27,2021-12-01,4474431.72
Core Equity ETF Fund 38,38,2021-12-01,-39046.21
Core Plus Bond Fund 21,21,2021-12-01,417665.38
Core Plus Bond Fund 40,40,2021-12-01,-1341.66
Core Plus Bond Fund 43,43,2021-12-01,-83269.4
Dividend ETF Fund 09,9,2021-12-01,3735133.78
Dividend ETF Fund 23,23,2021-12-01,164638.68
Dividend ETF Fund 28,28,2021-12-01,4033883.9
Federal Money Market Fund 25,25,2021-12-01,458870.32
Global Equity Fund 36,36,2021-12-01,-902848.21
Global Equity Fund 50,50,2021-12-01,298881.03
Growth ETF Fund 03,3,2021-12-01,2513684.65
Growth ETF Fund 22,22,2021-12-01,1474443.39
Growth ETF Fund 37,37,2021-12-01,33975.9
Growth ETF Fund 42,42,2021-12-01,1069791.49
Growth ETF Fund 46,46,2021-12-01,-949585.61
International ETF Fund 24,24,2021-12-01,2048827.0
International ETF Fund 33,33,2021-12-01,334253.54
International ETF Fund 44,44,2021-12-01,94063.4
International ETF Fund 45,45,2021-12-01,7237161.86
International Index Fund 19,19,2021-12-01,-5407606.86
International Index Fund 26,26,2021-12-01,2452863.73
International Index Fund 49,49,2021-12-01,2343845.14
Large Cap Index Fund 07,7,2021-12-01,1149951.72
Large Cap Index Fund 08,8,2021-12-01,4620446.32
Large Cap Index Fund 18,18,2021-12-01,-209633.04
Large Cap Index Fund 48,48,2021-12-01,110091.86
Municipal Bond Fund 13,13,2021-12-01,385423.53
Municipal Bond Fund 30,30,2021-12-01,11550.18
Municipal Bond Fund 31,31,2021-12-01,2271353.22
Prime Cash Reserves Fund 02,2,2021-12-01,-243310.37
Prime Cash Reserves Fund 29,29,2021-12-01,-24990.0
Prime Cash Reserves Fund 51,51,2021-12-01,2000395.23
Short Term Bond Fund 32,32,2021-12-01,1025810.91
Short Term Bond Fund 41,41,2021-12-01,1077739.34
Small Cap Index Fund 01,1,2021-12-01,-2369383.33
Small Cap Index Fund 20,20,2021-12-01,4522990.91
Small Cap Index Fund 35,35,2021-12-01,-124951.25
Target Retirement 2030 Fund 16,16,2021-12-01,3514456.07
Target Retirement 2030 Fund 34,34,2021-12-01,2063426.65
Target Retirement 2040 Fund 15,15,2021-12-01,2274537.35
Target Retirement 2040 Fund 52,52,2021-12-01,2064441.26
Target Retirement 2050 Fund 05,5,2021-12-01,79441.25
Total Bond Fund 04,4,2021-12-01,331977.83
Total Market Index Fund 11,11,2021-12-01,419791.81
Total Market Index Fund 39,39,2021-12-01,1794374.05
Total Market Index Fund 47,47,2021-12-01,1125177.82
Value Opportunities Fund 06,6,2021-12-01,2739202.77
Active Growth Fund 10,10,2022-01-01,291670.62
Active Growth Fund 14,14,2022-01-01,144889.9
Active Growth Fund 17,17,2022-01-01,-270607.48
Core Equity ETF Fund 12,12,2022-01-01,3955174.15
Core Equity ETF Fund 27,27,2022-01-01,3887165.49
Core Equity ETF Fund 38,38,2022-01-01,562641.08
Core Plus Bond Fund 21,21,2022-01-01,4788909.05
Core Plus Bond Fund 40,40,2022-01-01,54636.13
Core Plus Bond Fund 43,43,2022-01-01,147469.68
Dividend ETF Fund 09,9,2022-01-01,255956.12
Dividend ETF Fund 23,23,2022-01-01,4262024.81
Dividend ETF Fund 28,28,2022-01-01,4931608.2
Federal Money Market Fund 25,25,2022-01-01,4359226.16
Global Equity Fund 36,36,2022-01-01,5556451.84
Global Equity Fund 50,50,2022-01-01,164416.56
