opportunity_id,advisor_id,lead_id,client_id,created_date,closed_date,opportunity_stage,opportunity_status,estimated_assets,closed_assets
76,23,76,16,2024-03-07,2024-05-04,Closed,Closed Won,54523.60,48953.90
77,6,77,,2024-12-01,,Discovery,Inactive,473070.60,
78,16,78,,2025-06-11,,Discovery,Inactive,75500.84,
79,2,79,,2024-10-15,,Discovery,Inactive,706811.62,
80,10,80,17,2025-07-03,2025-08-15,Closed,Closed Won,801202.31,797344.91
81,20,81,,2025-06-11,,Discovery,Inactive,53340.28,
82,17,82,,2025-06-05,,Discovery,Inactive,580330.36,
83,1,83,,2025-01-12,,Proposal,Open,775554.83,
84,2,84,,2025-08-20,,Discovery,Inactive,195119.79,
85,13,85,,2024-05-31,,Discovery,Inactive,80882.19,
86,4,86,18,2024-07-14,2024-08-29,Closed,Closed Won,273000.33,210131.00
87,9,87,,2025-05-05,,Discovery,Inactive,1187552.98,
88,17,88,,2024-08-19,,Discovery,Inactive,49271.36,
89,16,89,,2024-04-12,,Discovery,Inactive,83309.03,
90,14,90,,2025-10-30,,Discovery,Inactive,643762.93,
91,10,91,,2024-11-24,,Proposal,Open,141612.44,
92,6,92,,2024-02-07,,Discovery,Inactive,220039.85,
93,10,93,19,2024-02-08,2024-03-22,Closed,Closed Won,1325847.32,1303576.96
94,17,94,,2025-12-21,,Discovery,Inactive,67175.09,
95,15,95,,2024-04-29,,Discovery,Inactive,461802.26,
96,15,96,,2024-02-26,,Proposal,Open,106134.58,
97,2,97,,2025-03-09,,Proposal,Open,73680.48,
98,12,98,,2025-01-26,,Discovery,Inactive,171905.88,
99,13,99,,2025-06-25,,Discovery,Inactive,483786.14,
100,8,100,20,2024-09-10,2024-10-28,Closed,Closed Won,137986.52,101018.20
101,1,101,,2024-08-04,,Discovery,Inactive,1408821.83,
102,16,102,,2024-09-05,,Discovery,Inactive,634373.01,
103,18,103,,2024-11-25,,Discovery,Inactive,210460.82,
104,10,104,,2024-09-24,,Discovery,Inactive,113982.50,
105,11,105,,2025-02-27,,Discovery,Inactive,53934.13,
106,8,106,,2025-05-26,,Discovery,Inactive,56703.62,
107,15,107,,2024-06-21,,Discovery,Inactive,162970.38,
108,16,108,,2024-07-07,,Discovery,Inactive,163786.09,
109,17,109,,2024-02-04,,Discovery,Inactive,85986.71,
110,1,110,21,2025-02-26,2025-03-18,Closed,Closed Won,101943.80,99903.84
111,11,111,,2024-01-17,,Discovery,Inactive,252432.86,
112,13,112,,2024-03-19,,Proposal,Open,282203.78,
113,12,113,22,2024-02-24,2024-04-29,Closed,Closed Won,2282741.41,1998460.80
114,20,114,23,2025-09-23,2025-11-17,Closed,Closed Won,177097.55,147541.02
115,15,115,,2025-12-26,,Discovery,Inactive,598501.54,
116,9,116,,2025-11-05,,Proposal,Open,263961.02,
117,21,117,,2024-03-28,,Proposal,Open,77934.50,
118,8,118,,2025-06-06,,Discovery,Inactive,270035.51,
119,15,119,,2025-01-18,,Discovery,Inactive,383569.92,
120,5,120,,2024-12-22,,Proposal,Open,102992.96,
121,11,121,,2025-10-25,,Discovery,Inactive,165225.95,
122,21,122,24,2024-07-07,2024-08-21,Closed,Closed Won,215363.98,170341.44
123,3,123,,2025-03-25,,Discovery,Inactive,101104.61,
124,24,124,,2025-08-25,,Discovery,Inactive,262644.57,
125,12,125,,2025-06-29,,Proposal,Open,211478.13,
126,21,126,25,2024-05-09,2024-06-16,Closed,Closed Won,944786.93,941762.03
127,20,127,,2025-12-04,,Proposal,Open,59603.87,
128,3,128,,2024-09-11,,Proposal,Open,405958.97,
129,8,129,,2025-05-21,,Proposal,Open,904938.97,
130,3,130,26,2024-01-18,2024-02-29,Closed,Closed Won,228832.31,177337.03
131,1,131,,2025-11-04,,Discovery,Inactive,96197.50,
132,2,132,,2024-08-25,,Discovery,Inactive,222349.06,
133,15,133,,2024-03-27,,Discovery,Inactive,259138.59,
134,3,134,,2025-08-29,,Proposal,Open,43289.29,
135,5,135,,2025-08-21,,Proposal,Open,37052.83,
136,22,136,,2024-11-07,,Discovery,Inactive,356457.25,
137,11,137,27,2024-05-31,2024-07-02,Closed,Closed Won,40504.29,30649.05
138,11,138,,2025-12-15,,Proposal,Open,158326.14,
139,17,139,,2025-05-04,,Discovery,Inactive,786081.89,
140,17,140,,2025-01-08,,Discovery,Inactive,312920.03,
141,19,141,,2024-04-13,,Proposal,Open,218285.11,
142,23,142,,2024-10-28,,Discovery,Inactive,90422.18,
143,11,143,,2025-09-18,,Proposal,Open,339765.84,
144,12,144,,2024-09-19,,Discovery,Inactive,306777.32,
145,24,145,,2025-03-05,,Discovery,Inactive,791481.33,
146,12,146,,2025-07-13,,Discovery,Inactive,198918.80,
147,9,147,,2024-04-17,,Proposal,Open,2108272.73,
148,6,148,,2025-09-13,,Discovery,Inactive,30002.67,
149,7,149,,2025-02-23,,Discovery,Inactive,825581.28,
150,22,150,28,2024-10-15,2024-12-11,Closed,Closed Won,48740.52,40213.47
151,23,151,,2024-02-05,,Discovery,Inactive,285159.83,
152,2,152,,2025-03-09,,Discovery,Inactive,1192314.33,
153,13,153,,2025-07-19,,Proposal,Open,684213.37,
154,4,154,,2024-10-19,,Discovery,Inactive,660225.72,
155,13,155,29,2025-11-01,2025-11-25,Closed,Closed Won,132146.85,117753.22
156,14,156,30,2025-09-11,2025-11-03,Closed,Closed Won,414840.16,374370.97
157,15,157,,2025-06-01,,Discovery,Inactive,75394.60,
158,12,158,,2024-12-18,,Discovery,Inactive,57017.74,
159,7,159,,2024-10-02,,Discovery,Inactive,216923.75,
160,22,160,31,2024-01-10,2024-02-03,Closed,Closed Won,212471.59,169670.30
161,21,161,,2024-04-01,,Proposal,Open,807553.62,
162,3,162,,2025-04-28,,Discovery,Inactive,194479.69,
163,17,163,,2024-11-01,,Discovery,Inactive,109665.21,
164,11,164,,2025-10-08,,Discovery,Inactive,41717.78,
165,9,165,,2024-08-02,,Discovery,Inactive,108302.59,
166,3,166,32,2024-05-12,2024-05-30,Closed,Closed Won,86299.93,62692.57
167,2,167,,2024-04-12,,Discovery,Inactive,1103956.36,
168,22,168,,2024-11-16,,Proposal,Open,412790.57,
169,11,169,,2024-07-06,,Proposal,Open,405896.22,
170,16,170,,2025-08-05,,Discovery,Inactive,42231.23,
171,20,171,,2024-01-30,,Discovery,Inactive,926595.69,
172,16,172,33,2025-05-14,2025-06-22,Closed,Closed Won,82247.86,69235.28
173,9,173,,2024-02-21,,Discovery,Inactive,203285.72,
174,8,174,,2024-03-21,,Discovery,Inactive,95472.69,
175,4,175,34,2025-02-17,2025-04-14,Closed,Closed Won,2467436.15,2071437.68
176,23,176,,2024-12-12,,Proposal,Open,973421.96,
177,19,177,,2025-05-09,,Discovery,Inactive,1034941.56,
178,19,178,,2024-06-26,,Proposal,Open,672053.55,
179,13,179,,2024-12-17,,Discovery,Inactive,150308.32,
180,20,180,,2025-12-17,,Discovery,Inactive,326093.27,
181,11,181,,2025-12-29,,Discovery,Inactive,106058.59,
182,20,182,,2024-10-24,,Discovery,Inactive,2133314.82,
183,19,183,,2025-11-14,,Proposal,Open,314450.23,
184,6,184,,2024-10-20,,Discovery,Inactive,37741.77,
185,10,185,,2024-07-27,,Proposal,Open,762791.03,
186,17,186,,2025-12-13,,Proposal,Open,2248712.16,
187,15,187,,2024-08-18,,Discovery,Inactive,830153.26,
188,19,188,,2025-07-13,,Proposal,Open,232772.51,
189,6,189,,2025-08-21,,Discovery,Inactive,66373.84,
190,2,190,,2024-06-06,,Discovery,Inactive,256542.90,
191,20,191,,2025-11-08,,Discovery,Inactive,164632.16,
192,17,192,35,2024-06-12,2024-08-04,Closed,Closed Won,321075.71,232192.10
193,11,193,,2024-02-08,,Proposal,Open,187841.41,
194,1,194,,2025-10-18,,Discovery,Inactive,62463.79,
195,23,195,36,2024-03-15,2024-04-07,Closed,Closed Won,37251.27,32064.31
196,19,196,,2025-01-08,,Discovery,Inactive,959016.91,
197,8,197,,2024-08-14,,Discovery,Inactive,181262.84,
198,5,198,,2025-11-26,,Discovery,Inactive,712407.18,
199,10,199,,2025-05-13,,Proposal,Open,1060105.20,
200,17,200,,2025-10-08,,Proposal,Open,2943617.11,
201,15,201,,2025-05-28,,Proposal,Open,2898449.43,
202,5,202,,2025-05-10,,Discovery,Inactive,70770.92,
203,3,203,37,2024-09-27,2024-11-12,Closed,Closed Won,2662701.37,2717430.57
204,14,204,,2024-01-23,,Proposal,Open,224461.26,
205,20,205,,2025-07-31,,Discovery,Inactive,1640581.03,
206,14,206,,2025-09-07,,Proposal,Open,131319.32,
207,13,207,,2024-05-15,,Proposal,Open,253791.75,
208,4,208,,2024-04-05,,Proposal,Open,206222.90,
209,16,209,,2025-01-25,,Discovery,Inactive,39582.59,
210,18,210,,2025-02-22,,Proposal,Open,165114.33,
211,9,211,38,2025-07-02,2025-08-07,Closed,Closed Won,195880.96,190783.76
212,6,212,,2025-10-17,,Proposal,Open,89455.06,
213,8,213,,2025-11-01,,Proposal,Open,182950.66,
214,18,214,,2025-08-19,,Discovery,Inactive,54563.58,
215,17,215,,2024-04-19,,Discovery,Inactive,209372.09,
216,17,216,,2024-09-20,,Discovery,Inactive,654429.96,
217,15,217,,2025-01-21,,Discovery,Inactive,1407340.31,
218,8,218,,2025-11-24,,Discovery,Inactive,646692.26,
219,17,219,,2025-07-02,,Discovery,Inactive,75567.74,
220,7,220,,2025-08-10,,Discovery,Inactive,166164.18,
221,8,221,,2025-09-25,,Discovery,Inactive,2699060.98,
222,20,222,,2024-11-18,,Discovery,Inactive,381360.02,
223,14,223,,2025-05-04,,Discovery,Inactive,61845.92,
224,22,224,39,2024-06-27,2024-07-18,Closed,Closed Won,55265.00,58861.07
225,4,225,,2024-12-25,,Discovery,Inactive,1708507.28,
226,21,226,,2025-10-26,,Discovery,Inactive,128325.66,
227,15,227,,2025-10-08,,Discovery,Inactive,856370.33,
228,14,228,,2025-10-08,,Proposal,Open,283045.43,
229,15,229,,2025-02-27,,Discovery,Inactive,261232.40,
230,18,230,,2024-02-25,,Proposal,Open,85895.47,
231,1,231,,2024-02-05,,Discovery,Inactive,534144.95,
232,15,232,,2025-07-07,,Discovery,Inactive,161846.66,
233,18,233,,2024-06-30,,Proposal,Open,124990.67,
234,1,234,,2024-01-01,,Discovery,Inactive,224546.49,
235,14,235,,2024-10-26,,Discovery,Inactive,244803.13,
236,9,236,,2024-03-22,,Proposal,Open,758562.75,
237,15,237,,2024-10-05,,Discovery,Inactive,120107.55,
238,2,238,,2025-07-01,,Discovery,Inactive,68499.21,
239,14,239,,2024-11-15,,Discovery,Inactive,201721.77,
240,2,240,,2024-12-04,,Discovery,Inactive,35617.87,
241,9,241,,2025-01-25,,Discovery,Inactive,97408.31,
242,13,242,,2025-03-29,,Discovery,Inactive,182711.61,
243,11,243,,2024-06-11,,Discovery,Inactive,116008.69,
244,4,244,,2024-09-16,,Proposal,Open,92772.34,
245,8,245,,2024-01-10,,Discovery,Inactive,260676.29,
246,20,246,40,2024-06-07,2024-08-01,Closed,Closed Won,108895.60,99431.18
247,17,247,,2025-11-30,,Proposal,Open,146799.17,
248,7,248,,2024-04-11,,Proposal,Open,244506.08,
249,3,249,,2025-04-24,,Discovery,Inactive,79652.68,
250,12,250,,2025-12-26,,Proposal,Open,72567.46,
251,17,251,41,2025-11-03,2025-11-28,Closed,Closed Won,589121.17,495748.19
252,11,252,,2025-09-15,,Proposal,Open,84447.56,
253,1,253,,2025-06-14,,Discovery,Inactive,72030.94,
254,18,254,,2025-08-07,,Discovery,Inactive,23334.93,
255,5,255,,2024-05-21,,Discovery,Inactive,98181.84,
256,11,256,,2025-05-09,,Discovery,Inactive,282232.12,
257,11,257,,2024-12-22,,Discovery,Inactive,262723.31,
258,8,258,,2025-10-30,,Discovery,Inactive,2085505.09,
259,13,259,,2024-02-25,,Proposal,Open,172938.74,
260,8,260,42,2025-03-18,2025-05-06,Closed,Closed Won,592408.85,468784.42
261,17,261,,2024-09-21,,Discovery,Inactive,211453.09,
262,23,262,,2025-11-15,,Proposal,Open,76366.12,
263,12,263,,2024-04-20,,Discovery,Inactive,53677.89,
264,18,264,,2024-03-31,,Proposal,Open,55794.01,
265,17,265,,2024-10-09,,Discovery,Inactive,276706.04,
266,1,266,,2025-07-22,,Discovery,Inactive,61380.93,
267,22,267,,2024-05-20,,Proposal,Open,281873.65,
268,18,268,,2025-12-01,,Discovery,Inactive,370089.18,
269,17,269,,2024-05-18,,Discovery,Inactive,113488.55,
270,5,270,,2024-01-31,,Discovery,Inactive,647951.32,
271,10,271,,2025-03-29,,Discovery,Inactive,93328.23,
272,8,272,,2025-09-02,,Discovery,Inactive,60589.06,
273,6,273,43,2025-01-31,2025-02-11,Closed,Closed Won,1294818.66,1364424.43
274,13,274,,2024-11-07,,Discovery,Inactive,51941.36,
275,20,275,,2024-02-25,,Discovery,Inactive,655884.04,
276,15,276,,2024-01-26,,Proposal,Open,65598.28,
277,23,277,,2025-01-28,,Discovery,Inactive,1580931.73,
278,13,278,,2025-07-17,,Discovery,Inactive,142342.42,
279,2,279,,2025-03-05,,Discovery,Inactive,23968.16,
280,9,280,,2024-01-13,,Discovery,Inactive,678916.02,
281,3,281,,2025-09-07,,Proposal,Open,139019.28,
282,2,282,,2025-11-14,,Discovery,Inactive,185871.11,
283,2,283,,2024-04-21,,Proposal,Open,512724.51,
284,3,284,,2024-11-02,,Discovery,Inactive,355535.33,
285,9,285,,2024-12-03,,Discovery,Inactive,261732.54,
286,2,286,,2024-04-21,,Discovery,Inactive,1464347.64,
287,16,287,,2025-12-06,,Discovery,Inactive,262170.54,
288,19,288,,2025-05-23,,Proposal,Open,32705.03,
289,14,289,,2025-02-27,,Proposal,Open,91981.80,
290,11,290,,2025-02-09,,Discovery,Inactive,127789.35,
291,7,291,,2024-12-04,,Discovery,Inactive,1968634.38,
292,2,292,,2025-10-23,,Proposal,Open,261566.69,
293,11,293,,2025-07-22,,Proposal,Open,2127971.05,
294,20,294,,2025-02-02,,Proposal,Open,480301.21,
295,4,295,,2025-01-18,,Discovery,Inactive,957614.77,
296,17,296,,2024-01-26,,Discovery,Inactive,1601131.08,
297,16,297,,2025-06-20,,Proposal,Open,1156654.73,
298,22,298,,2025-08-31,,Discovery,Inactive,255496.71,
299,17,299,,2025-11-05,,Discovery,Inactive,81732.31,
300,7,300,,2024-11-24,,Proposal,Open,43416.44,
301,23,301,,2024-10-17,,Proposal,Open,222455.30,
302,21,302,,2025-12-07,,Proposal,Open,451320.71,
303,10,303,,2025-12-01,,Discovery,Inactive,73203.25,
304,22,304,,2024-12-04,,Discovery,Inactive,128403.12,
305,20,305,,2025-08-11,,Proposal,Open,239856.99,
306,13,306,,2024-03-08,,Discovery,Inactive,170655.83,
307,3,307,,2025-12-29,,Proposal,Open,189697.32,
308,13,308,44,2024-12-01,2025-01-26,Closed,Closed Won,312289.98,301467.89
309,16,309,,2024-05-22,,Proposal,Open,41231.68,
310,22,310,,2025-03-23,,Discovery,Inactive,49183.01,
311,14,311,,2025-04-11,,Discovery,Inactive,1050642.59,
312,6,312,,2025-04-10,,Proposal,Open,43948.79,
313,19,313,,2025-01-10,,Proposal,Open,197528.51,
314,8,314,,2025-04-28,,Proposal,Open,228151.36,
315,12,315,,2024-10-28,,Proposal,Open,616325.29,
316,20,316,,2024-01-28,,Proposal,Open,69381.23,
317,15,317,,2025-01-13,,Discovery,Inactive,67022.85,
318,6,318,,2025-06-24,,Discovery,Inactive,150081.14,
319,20,319,,2024-06-06,,Discovery,Inactive,597322.47,
320,8,320,45,2025-11-07,2025-12-28,Closed,Closed Won,125622.73,132165.83
321,22,321,,2024-11-19,,Discovery,Inactive,398185.33,
322,21,322,,2024-12-28,,Discovery,Inactive,201353.71,
323,9,323,,2024-12-09,,Discovery,Inactive,239454.65,
324,17,324,,2024-12-11,,Discovery,Inactive,1640274.26,
325,22,325,,2024-01-09,,Discovery,Inactive,34485.46,
326,22,326,,2025-04-01,,Discovery,Inactive,74447.29,
327,7,327,,2025-09-05,,Discovery,Inactive,418582.15,
328,20,328,,2024-05-13,,Discovery,Inactive,823248.80,
329,14,329,,2025-12-09,,Discovery,Inactive,599457.34,
330,3,330,,2024-10-10,,Discovery,Inactive,171869.71,
331,9,331,,2024-09-28,,Proposal,Open,117699.95,
332,23,332,,2024-09-22,,Proposal,Open,284688.55,
333,5,333,46,2025-12-17,2026-02-01,Closed,Closed Won,204535.56,198017.84
334,15,334,,2024-10-23,,Discovery,Inactive,30312.18,
335,22,335,47,2024-07-14,2024-08-05,Closed,Closed Won,922264.64,829933.31
336,11,336,,2024-05-03,,Discovery,Inactive,162360.42,
337,7,337,,2024-02-16,,Discovery,Inactive,142115.06,
338,14,338,,2024-06-21,,Proposal,Open,30495.27,
339,3,339,,2025-12-24,,Discovery,Inactive,403023.26,
340,17,340,,2025-04-06,,Discovery,Inactive,619261.39,
341,18,341,,2024-08-29,,Discovery,Inactive,188327.17,
342,21,342,48,2025-11-06,2025-12-23,Closed,Closed Won,273602.09,284663.45
343,19,343,,2025-08-16,,Proposal,Open,689213.18,
344,3,344,,2025-04-27,,Proposal,Open,146824.49,
345,2,345,,2025-12-09,,Discovery,Inactive,38666.52,
346,15,346,,2025-03-04,,Proposal,Open,1112613.18,
347,19,347,,2025-04-29,,Discovery,Inactive,86941.38,
348,8,348,,2024-09-10,,Proposal,Open,1957224.10,
349,2,349,,2025-03-11,,Discovery,Inactive,185030.38,
350,4,350,,2025-04-08,,Proposal,Open,95645.73,
351,15,351,,2025-04-19,,Discovery,Inactive,542537.85,
352,12,352,,2025-10-03,,Proposal,Open,388148.05,
353,24,353,,2024-02-26,,Discovery,Inactive,479466.60,
354,23,354,,2024-03-09,,Discovery,Inactive,1777568.69,
355,23,355,,2024-08-02,,Discovery,Inactive,574961.78,
356,17,356,,2025-11-27,,Proposal,Open,325698.91,
357,3,357,,2024-07-11,,Discovery,Inactive,133675.44,
358,10,358,,2024-03-19,,Proposal,Open,831150.66,
359,10,359,,2024-07-12,,Discovery,Inactive,595857.94,
360,23,360,,2025-06-26,,Discovery,Inactive,131720.52,
361,10,361,,2024-06-24,,Discovery,Inactive,59008.38,
362,2,362,49,2024-05-31,2024-07-22,Closed,Closed Won,92222.74,71496.09
363,2,363,,2025-09-14,,Discovery,Inactive,169483.07,
364,9,364,,2024-07-19,,Proposal,Open,294591.25,
365,13,365,50,2025-01-16,2025-03-17,Closed,Closed Won,112411.63,86584.42
366,21,366,51,2025-04-28,2025-06-22,Closed,Closed Won,53420.00,46848.52
367,12,367,,2025-05-11,,Discovery,Inactive,82772.00,
368,17,368,,2025-06-28,,Discovery,Inactive,694970.76,
369,15,369,52,2024-03-19,2024-04-25,Closed,Closed Won,47427.76,36345.66
370,23,370,,2025-05-01,,Proposal,Open,450109.86,
371,5,371,,2025-05-22,,Discovery,Inactive,496637.38,
372,3,372,,2024-12-01,,Proposal,Open,2639433.83,
373,6,373,,2024-01-14,,Discovery,Inactive,144217.13,
374,17,374,,2025-11-05,,Discovery,Inactive,73460.98,
375,19,375,,2024-04-14,,Discovery,Inactive,31330.56,
376,14,376,,2025-05-26,,Discovery,Inactive,313190.81,
377,16,377,,2025-11-13,,Proposal,Open,740989.28,
378,6,378,53,2025-01-26,2025-02-14,Closed,Closed Won,159476.35,164178.04
379,12,379,54,2024-10-18,2024-12-09,Closed,Closed Won,45440.88,43534.47
380,17,380,,2024-07-10,,Discovery,Inactive,83160.73,
381,15,381,,2024-10-01,,Discovery,Inactive,178892.19,
382,14,382,55,2025-08-02,2025-08-31,Closed,Closed Won,103984.21,84861.15
383,9,383,,2024-10-11,,Discovery,Inactive,88455.25,
384,16,384,,2024-01-21,,Discovery,Inactive,147365.04,
385,22,385,,2025-11-04,,Discovery,Inactive,302899.06,
386,5,386,,2024-08-29,,Discovery,Inactive,310763.57,
387,16,387,,2024-04-02,,Proposal,Open,167747.47,
388,15,388,,2025-02-22,,Proposal,Open,1194442.80,
389,2,389,,2025-11-09,,Discovery,Inactive,71939.52,
390,8,390,,2024-09-16,,Proposal,Open,760718.22,
391,3,391,,2024-08-29,,Discovery,Inactive,1757916.36,
392,16,392,,2025-04-27,,Discovery,Inactive,1538890.82,
393,4,393,,2024-06-13,,Discovery,Inactive,212130.67,
394,24,394,56,2025-07-14,2025-09-08,Closed,Closed Won,29969.69,27149.29
395,20,395,,2025-03-15,,Proposal,Open,55396.45,
396,9,396,,2024-10-21,,Discovery,Inactive,206712.19,
397,20,397,,2024-08-08,,Discovery,Inactive,82820.71,
398,6,398,,2025-02-22,,Discovery,Inactive,128250.08,
399,20,399,,2025-04-06,,Discovery,Inactive,239379.28,
400,3,400,,2024-01-11,,Discovery,Inactive,585416.27,
401,18,401,,2024-03-01,,Discovery,Inactive,2690485.87,
402,23,402,,2024-02-16,,Proposal,Open,203024.46,
403,5,403,57,2024-04-01,2024-04-14,Closed,Closed Won,1909399.28,1977559.29
404,12,404,,2025-08-27,,Discovery,Inactive,66743.49,
405,3,405,,2025-04-16,,Discovery,Inactive,178913.77,
406,20,406,,2025-11-04,,Discovery,Inactive,1867363.06,
407,24,407,58,2024-03-13,2024-04-08,Closed,Closed Won,2109609.92,2243772.01
408,16,408,,2025-10-26,,Proposal,Open,84802.65,
409,16,409,,2024-01-21,,Discovery,Inactive,177210.51,
410,13,410,,2024-02-22,,Proposal,Open,474311.42,
411,20,411,,2025-11-25,,Discovery,Inactive,369686.30,
412,17,412,59,2024-01-20,2024-02-14,Closed,Closed Won,132827.43,112077.80
413,15,413,,2024-04-23,,Discovery,Inactive,800531.56,
414,4,414,,2025-07-29,,Proposal,Open,60774.34,
415,4,415,,2024-07-25,,Proposal,Open,842308.51,
416,14,416,,2024-08-21,,Proposal,Open,210044.51,
417,14,417,,2024-03-03,,Proposal,Open,54468.23,
418,1,418,,2024-10-13,,Discovery,Inactive,153222.15,
419,15,419,,2025-10-21,,Proposal,Open,150053.17,
420,11,420,,2025-02-03,,Discovery,Inactive,276762.88,
421,10,421,,2024-08-06,,Proposal,Open,75779.25,
422,24,422,,2024-03-02,,Discovery,Inactive,63786.21,
423,2,423,,2025-10-28,,Discovery,Inactive,199748.61,
424,15,424,,2024-12-13,,Discovery,Inactive,927740.05,
425,23,425,,2025-10-04,,Discovery,Inactive,331757.33,
426,10,426,,2025-11-13,,Discovery,Inactive,1004002.61,
427,15,427,,2024-04-10,,Proposal,Open,233592.12,
428,9,428,,2025-08-21,,Discovery,Inactive,232598.55,
429,24,429,,2025-03-02,,Discovery,Inactive,48231.43,
430,15,430,,2024-05-12,,Discovery,Inactive,165929.45,
431,7,431,,2025-04-11,,Discovery,Inactive,103871.70,
432,10,432,,2024-02-11,,Proposal,Open,33160.88,
