client_id,primary_advisor_id,client_since_date,client_segment,age_band,household_income_band,risk_tolerance,client_status
37,3,2024-11-12,High Value,45-54,$100K-$199K,Conservative,Active
38,9,2025-08-07,Core,55-64,$200K-$349K,Growth,Active
39,22,2024-07-18,Emerging,45-54,Under $100K,Moderate,Active
40,20,2024-08-01,Core,35-44,$100K-$199K,Moderate,Active
41,17,2025-11-28,Mass Affluent,35-44,$350K+,Moderate,Active
42,8,2025-05-06,Mass Affluent,45-54,$100K-$199K,Moderate,Active
43,6,2025-02-11,High Value,65+,$350K+,Moderate,Active
44,13,2025-01-26,Mass Affluent,45-54,$100K-$199K,Growth,Active
45,8,2025-12-28,Emerging,35-44,$200K-$349K,Moderate,Active
46,5,2026-02-01,Core,55-64,Under $100K,Moderate,Active
47,22,2024-08-05,Mass Affluent,65+,$200K-$349K,Aggressive,Active
48,21,2025-12-23,Core,45-54,Under $100K,Conservative,Active
49,2,2024-07-22,Emerging,35-44,Under $100K,Moderate,Active
50,13,2025-03-17,Emerging,55-64,Under $100K,Moderate,Active
51,21,2025-06-22,Emerging,35-44,$200K-$349K,Aggressive,Active
52,15,2024-04-25,Emerging,55-64,$200K-$349K,Moderate,Active
53,6,2025-02-14,Core,55-64,$350K+,Conservative,Active
54,12,2024-12-09,Emerging,35-44,$200K-$349K,Moderate,Active
55,14,2025-08-31,Emerging,45-54,Under $100K,Growth,Active
56,24,2025-09-08,Emerging,65+,$200K-$349K,Growth,Active
57,5,2024-04-14,High Value,55-64,$200K-$349K,Moderate,Active
58,24,2024-04-08,High Value,35-44,$100K-$199K,Growth,Active
59,17,2024-02-14,Core,35-44,Under $100K,Growth,Active
60,24,2025-06-25,Core,45-54,$100K-$199K,Moderate,Active
61,10,2024-04-28,High Value,55-64,$100K-$199K,Conservative,Active
62,21,2024-09-29,Mass Affluent,35-44,$100K-$199K,Moderate,Active
63,19,2025-11-23,Emerging,55-64,$100K-$199K,Conservative,Active
64,3,2025-08-11,Emerging,35-44,$100K-$199K,Moderate,Active
65,22,2024-11-24,Emerging,65+,$100K-$199K,Moderate,Active
66,24,2024-09-05,High Value,45-54,Under $100K,Aggressive,Active
67,24,2025-03-01,Emerging,35-44,$350K+,Moderate,Active
68,24,2024-07-02,Core,55-64,$100K-$199K,Moderate,Active
69,22,2025-10-04,Mass Affluent,55-64,$100K-$199K,Growth,Active
70,23,2024-12-02,Emerging,35-44,$350K+,Moderate,Active
71,1,2025-09-18,Emerging,Under 35,$100K-$199K,Aggressive,Active
72,22,2024-04-03,Core,35-44,$100K-$199K,Aggressive,Active
73,22,2025-10-12,Emerging,55-64,$200K-$349K,Growth,Active
74,5,2025-04-06,High Value,65+,$100K-$199K,Aggressive,Active
75,22,2025-09-15,Core,35-44,$100K-$199K,Growth,Active
76,5,2025-06-20,Core,35-44,$100K-$199K,Moderate,Active
77,7,2024-02-15,Core,65+,$100K-$199K,Moderate,Active
78,12,2025-12-03,Emerging,55-64,Under $100K,Moderate,Active
79,6,2024-04-26,Emerging,45-54,$100K-$199K,Moderate,Active
80,7,2024-08-16,Emerging,45-54,$350K+,Moderate,Active
81,15,2024-08-14,Mass Affluent,Under 35,$100K-$199K,Conservative,Active
82,2,2024-06-12,Emerging,45-54,$100K-$199K,Conservative,Active
83,19,2025-11-04,Mass Affluent,45-54,$100K-$199K,Moderate,Active
84,8,2024-07-07,Core,Under 35,$100K-$199K,Moderate,Active
85,10,2024-08-25,Mass Affluent,55-64,$100K-$199K,Moderate,Active
86,19,2024-06-26,Emerging,55-64,$100K-$199K,Moderate,Active
87,17,2025-03-23,Mass Affluent,45-54,$350K+,Moderate,Active
88,24,2025-02-22,Emerging,45-54,$350K+,Moderate,Active
89,17,2025-11-01,High Value,35-44,$200K-$349K,Moderate,Active
90,16,2024-07-08,Core,65+,$200K-$349K,Growth,Active
91,12,2024-10-10,Emerging,Under 35,$350K+,Growth,Active
92,22,2025-02-04,Core,55-64,$100K-$199K,Moderate,Active
93,21,2025-08-12,Core,65+,$100K-$199K,Moderate,Active
94,15,2025-05-16,High Value,45-54,$100K-$199K,Moderate,Active
95,9,2025-12-08,Core,45-54,$350K+,Growth,Active
96,22,2024-06-21,Core,65+,$100K-$199K,Moderate,Active
97,17,2024-03-09,Emerging,55-64,Under $100K,Moderate,Active
98,8,2025-07-30,Emerging,65+,$200K-$349K,Conservative,Active
99,13,2025-11-28,High Value,65+,$200K-$349K,Conservative,Active
100,15,2025-01-05,Emerging,65+,$200K-$349K,Moderate,Active
101,24,2026-02-21,Core,35-44,$200K-$349K,Growth,Active
102,3,2024-03-08,Mass Affluent,55-64,Under $100K,Growth,Active
103,24,2024-07-22,High Value,35-44,$100K-$199K,Moderate,Active
104,10,2025-02-19,Core,45-54,$100K-$199K,Growth,Active
105,11,2025-06-14,Mass Affluent,65+,$100K-$199K,Moderate,Active
106,24,2025-01-07,Emerging,Under 35,$350K+,Growth,Active
107,20,2025-07-26,High Value,55-64,$200K-$349K,Moderate,Active
108,11,2026-02-12,Core,65+,$100K-$199K,Moderate,Active
109,24,2024-06-20,Core,45-54,$100K-$199K,Aggressive,Active
110,19,2025-08-02,Core,65+,$100K-$199K,Growth,Active
111,22,2025-07-15,Emerging,65+,$100K-$199K,Moderate,Active
112,12,2024-03-27,Emerging,Under 35,$200K-$349K,Moderate,Active
113,2,2025-12-08,Emerging,65+,$100K-$199K,Moderate,Active
114,3,2025-02-02,High Value,Under 35,$350K+,Moderate,Active
115,4,2024-09-30,Mass Affluent,65+,$100K-$199K,Growth,Active
116,22,2025-10-21,Mass Affluent,45-54,$100K-$199K,Moderate,Active
117,5,2024-11-30,Emerging,45-54,$100K-$199K,Moderate,Active
118,11,2026-02-08,Core,45-54,Under $100K,Moderate,Active
119,19,2024-03-15,Core,55-64,$100K-$199K,Conservative,Active
120,24,2025-02-10,Emerging,35-44,$200K-$349K,Moderate,Active
121,1,2024-08-06,Emerging,Under 35,Under $100K,Growth,Active
122,8,2025-10-15,Emerging,65+,$100K-$199K,Growth,Active
123,19,2024-07-10,Core,65+,$100K-$199K,Moderate,Active
124,21,2025-06-04,Emerging,35-44,Under $100K,Growth,Active
125,13,2024-09-29,High Value,35-44,Under $100K,Moderate,Active
126,8,2025-03-22,Mass Affluent,Under 35,$100K-$199K,Moderate,Active
127,6,2024-09-09,Core,45-54,$100K-$199K,Conservative,Active
128,10,2024-05-28,Core,45-54,Under $100K,Growth,Active
129,13,2025-09-21,Core,45-54,Under $100K,Aggressive,Active
130,9,2025-03-20,Emerging,45-54,$100K-$199K,Moderate,Active
131,5,2026-01-31,High Value,45-54,Under $100K,Conservative,Active
132,23,2025-04-24,Emerging,55-64,$100K-$199K,Moderate,Active
133,15,2026-01-04,Mass Affluent,55-64,$200K-$349K,Growth,Active
134,1,2026-01-02,Emerging,45-54,Under $100K,Conservative,Active
135,2,2025-12-31,Mass Affluent,45-54,$100K-$199K,Growth,Active
136,17,2025-11-27,Core,45-54,Under $100K,Moderate,Active
137,17,2024-07-08,Core,55-64,$200K-$349K,Conservative,Active
138,8,2025-12-14,Core,55-64,$350K+,Conservative,Active
139,14,2025-07-30,High Value,55-64,$100K-$199K,Moderate,Active
140,8,2025-03-27,Emerging,Under 35,$350K+,Growth,Active
141,8,2024-07-22,Core,45-54,$100K-$199K,Aggressive,Active
142,21,2025-03-11,Mass Affluent,45-54,Under $100K,Conservative,Active
143,4,2025-05-16,Emerging,45-54,$100K-$199K,Aggressive,Active
144,13,2025-10-21,Mass Affluent,35-44,$100K-$199K,Growth,Active
145,19,2024-05-31,Mass Affluent,45-54,$100K-$199K,Growth,Active
146,17,2026-01-17,Mass Affluent,65+,Under $100K,Moderate,Active
147,22,2025-09-05,High Value,65+,$350K+,Moderate,Active
148,2,2025-09-11,Mass Affluent,55-64,$350K+,Growth,Active
149,19,2025-02-11,Emerging,35-44,Under $100K,Conservative,Active
150,23,2025-09-11,Emerging,35-44,Under $100K,Growth,Active
151,3,2024-08-14,Core,45-54,Under $100K,Moderate,Active
152,19,2025-07-08,Emerging,35-44,$350K+,Conservative,Active
153,22,2024-06-27,Emerging,65+,$350K+,Moderate,Active
154,18,2024-10-19,Core,55-64,$100K-$199K,Moderate,Active
155,8,2024-08-18,High Value,55-64,$100K-$199K,Moderate,Active
156,21,2024-08-28,Core,65+,$200K-$349K,Moderate,Active
157,16,2024-05-03,Mass Affluent,65+,$200K-$349K,Growth,Active
158,20,2025-10-04,Mass Affluent,55-64,Under $100K,Moderate,Active
159,2,2024-12-16,Mass Affluent,45-54,$350K+,Moderate,Active
160,12,2025-04-30,Core,55-64,$100K-$199K,Conservative,Active
161,2,2025-07-10,Core,65+,Under $100K,Aggressive,Active
162,12,2025-09-19,Core,Under 35,$350K+,Moderate,Active
163,6,2025-09-08,High Value,55-64,Under $100K,Aggressive,Active
164,20,2025-03-07,Core,55-64,$350K+,Moderate,Active
165,7,2025-08-23,Mass Affluent,Under 35,$200K-$349K,Moderate,Active
166,12,2025-09-15,Emerging,35-44,Under $100K,Growth,Active
167,22,2025-02-13,Emerging,55-64,Under $100K,Moderate,Active
168,9,2024-05-11,Emerging,55-64,$100K-$199K,Moderate,Active
169,11,2025-02-23,Emerging,65+,Under $100K,Growth,Active
170,4,2025-08-22,Core,55-64,$100K-$199K,Conservative,Active
171,24,2024-10-15,Emerging,35-44,Under $100K,Growth,Active
172,5,2024-07-26,Emerging,55-64,$100K-$199K,Moderate,Active
173,24,2025-10-17,Core,55-64,$350K+,Moderate,Active
174,21,2025-12-06,Emerging,55-64,$100K-$199K,Moderate,Active
175,19,2025-08-27,Core,35-44,Under $100K,Moderate,Active
176,16,2024-07-13,Core,35-44,$100K-$199K,Conservative,Active
177,4,2025-06-25,High Value,45-54,Under $100K,Growth,Active
178,6,2025-06-05,Emerging,65+,$100K-$199K,Conservative,Active
179,22,2025-09-02,Core,Under 35,$200K-$349K,Moderate,Active
180,13,2024-10-03,Emerging,55-64,$350K+,Growth,Active
181,9,2025-12-03,Emerging,65+,$200K-$349K,Growth,Active
182,24,2025-11-10,Emerging,45-54,$200K-$349K,Conservative,Active
183,12,2024-09-05,Core,55-64,Under $100K,Moderate,Active
184,17,2025-08-18,Core,45-54,Under $100K,Moderate,Active
185,3,2024-06-05,Core,55-64,$100K-$199K,Growth,Active
186,12,2025-06-02,High Value,65+,$100K-$199K,Conservative,Active
187,19,2025-11-13,Emerging,65+,$100K-$199K,Moderate,Active
188,17,2025-09-01,Mass Affluent,35-44,$100K-$199K,Moderate,Active
189,7,2025-04-29,High Value,45-54,$350K+,Conservative,Active
190,7,2024-07-06,Emerging,45-54,$100K-$199K,Growth,Active
191,8,2024-04-03,Mass Affluent,Under 35,$100K-$199K,Growth,Active
192,14,2025-10-18,Emerging,Under 35,Under $100K,Conservative,Active
193,21,2024-06-22,Emerging,35-44,$350K+,Conservative,Active
194,16,2024-10-29,Core,45-54,Under $100K,Conservative,Active
195,6,2024-04-27,Mass Affluent,55-64,$100K-$199K,Conservative,Active
196,14,2025-10-03,Emerging,45-54,$100K-$199K,Moderate,Active
197,24,2024-04-13,Core,65+,Under $100K,Moderate,Active
198,9,2026-02-05,Emerging,65+,$200K-$349K,Conservative,Active
199,20,2024-07-08,Core,55-64,$100K-$199K,Moderate,Active
200,10,2025-09-30,Core,35-44,$200K-$349K,Aggressive,Active
201,16,2024-10-18,Core,65+,Under $100K,Moderate,Active
202,24,2025-04-04,Mass Affluent,65+,$100K-$199K,Aggressive,Active
203,1,2025-10-31,Core,55-64,Under $100K,Growth,Active
204,11,2024-10-06,Core,65+,$100K-$199K,Growth,Active
205,16,2024-04-26,Emerging,55-64,Under $100K,Moderate,Active
206,12,2025-07-13,Mass Affluent,65+,$200K-$349K,Aggressive,Active
207,9,2025-06-06,Core,Under 35,$100K-$199K,Moderate,Active
208,19,2024-03-12,Core,35-44,$100K-$199K,Moderate,Active
209,24,2024-06-19,High Value,55-64,$200K-$349K,Moderate,Active
210,7,2024-05-01,Core,55-64,Under $100K,Aggressive,Active
211,6,2024-05-29,High Value,45-54,$100K-$199K,Growth,Active
212,10,2026-01-18,Emerging,Under 35,$200K-$349K,Moderate,Active
213,10,2024-09-25,Mass Affluent,Under 35,Under $100K,Conservative,Active
214,8,2025-10-17,Emerging,35-44,$100K-$199K,Moderate,Active
215,20,2025-05-14,Emerging,65+,$100K-$199K,Moderate,Active
216,9,2025-04-01,Mass Affluent,55-64,Under $100K,Moderate,Active
217,22,2024-11-14,Emerging,65+,$100K-$199K,Growth,Active
218,19,2024-11-02,Mass Affluent,55-64,$200K-$349K,Moderate,Active
219,18,2024-06-22,Mass Affluent,45-54,Under $100K,Moderate,Active
220,13,2025-11-04,High Value,55-64,$100K-$199K,Conservative,Active
221,23,2025-11-12,Emerging,35-44,$100K-$199K,Moderate,Active
222,3,2025-10-25,Core,45-54,$100K-$199K,Conservative,Active
223,14,2025-04-23,Emerging,55-64,Under $100K,Moderate,Active
224,8,2025-06-06,Emerging,55-64,$200K-$349K,Growth,Active
225,4,2024-02-20,High Value,65+,$200K-$349K,Conservative,Active
226,11,2024-08-17,Core,45-54,$100K-$199K,Growth,Active
227,21,2025-08-13,Emerging,45-54,Under $100K,Moderate,Active
228,5,2025-07-26,Core,55-64,$200K-$349K,Conservative,Active
229,15,2024-04-17,Emerging,45-54,$200K-$349K,Growth,Active
230,3,2025-08-14,Emerging,55-64,Under $100K,Aggressive,Active
231,20,2024-08-01,Emerging,45-54,$200K-$349K,Moderate,Active
232,24,2024-08-01,Emerging,Under 35,$200K-$349K,Aggressive,Active
233,19,2025-05-30,Mass Affluent,35-44,Under $100K,Moderate,Active
234,1,2024-04-22,Mass Affluent,35-44,$100K-$199K,Growth,Active
235,20,2024-08-08,Mass Affluent,35-44,$200K-$349K,Growth,Active
236,19,2025-10-30,Emerging,55-64,$100K-$199K,Conservative,Active
237,6,2024-12-27,Core,35-44,$200K-$349K,Moderate,Active
238,19,2024-11-13,Mass Affluent,55-64,$200K-$349K,Moderate,Active
239,10,2024-06-16,Core,35-44,Under $100K,Moderate,Active
240,19,2024-10-07,Core,65+,$100K-$199K,Aggressive,Active
241,12,2025-11-12,Mass Affluent,55-64,$100K-$199K,Moderate,Active
242,12,2024-10-18,High Value,Under 35,Under $100K,Moderate,Active
243,1,2024-12-19,High Value,65+,Under $100K,Moderate,Active
244,24,2025-03-14,Mass Affluent,Under 35,$200K-$349K,Growth,Active
245,19,2025-06-09,Core,55-64,$100K-$199K,Moderate,Active
246,11,2025-08-31,Core,Under 35,$200K-$349K,Growth,Active
247,19,2024-04-06,Mass Affluent,55-64,$350K+,Growth,Active
248,21,2024-11-21,Emerging,55-64,$100K-$199K,Growth,Active
249,13,2025-12-15,Emerging,65+,$100K-$199K,Moderate,Active
250,24,2026-02-19,High Value,35-44,$350K+,Conservative,Active
251,8,2024-04-18,High Value,Under 35,$350K+,Aggressive,Active
252,9,2026-01-07,Core,65+,$200K-$349K,Moderate,Active
253,23,2024-05-06,Emerging,35-44,$100K-$199K,Conservative,Active
254,16,2024-05-12,Core,Under 35,Under $100K,Conservative,Active
255,2,2024-09-17,Core,Under 35,Under $100K,Growth,Active
256,2,2025-04-09,Core,35-44,$200K-$349K,Moderate,Active
257,13,2024-12-06,Emerging,35-44,$350K+,Aggressive,Active
258,14,2025-10-13,High Value,55-64,Under $100K,Conservative,Active
259,17,2025-06-26,Mass Affluent,55-64,$200K-$349K,Moderate,Active
260,21,2025-03-17,Emerging,55-64,$100K-$199K,Growth,Active
261,21,2024-05-16,Core,45-54,$200K-$349K,Moderate,Active
262,17,2025-09-27,Core,65+,$200K-$349K,Moderate,Active
263,14,2024-02-17,Core,45-54,$100K-$199K,Moderate,Active
264,14,2024-04-10,Mass Affluent,55-64,$200K-$349K,Conservative,Active
265,24,2025-03-19,Emerging,45-54,$100K-$199K,Moderate,Active
266,23,2024-03-13,Emerging,45-54,Under $100K,Moderate,Active
267,23,2024-07-04,Emerging,45-54,Under $100K,Moderate,Active
268,22,2025-02-22,Core,55-64,$200K-$349K,Moderate,Active
269,12,2025-09-12,Core,45-54,$350K+,Conservative,Active
270,6,2024-05-12,Mass Affluent,35-44,$100K-$199K,Growth,Active
271,3,2025-10-12,Core,65+,$100K-$199K,Moderate,Active
272,15,2024-03-08,Mass Affluent,45-54,$100K-$199K,Moderate,Active
273,19,2025-02-11,Emerging,Under 35,$100K-$199K,Moderate,Active
274,10,2025-06-03,Emerging,65+,$350K+,Moderate,Active
275,8,2024-03-27,Core,35-44,$100K-$199K,Moderate,Active
276,15,2024-03-16,Core,55-64,$100K-$199K,Conservative,Active
277,22,2024-11-14,Mass Affluent,65+,$200K-$349K,Conservative,Active
278,5,2024-06-21,Emerging,65+,$200K-$349K,Aggressive,Active
279,6,2024-08-12,Mass Affluent,55-64,Under $100K,Moderate,Active
280,19,2025-12-08,Emerging,55-64,$100K-$199K,Moderate,Active
281,3,2025-04-25,Emerging,35-44,$100K-$199K,Aggressive,Active
282,10,2025-03-26,Emerging,35-44,Under $100K,Moderate,Active
283,20,2024-07-17,Emerging,55-64,$100K-$199K,Moderate,Active
284,14,2024-02-28,Mass Affluent,45-54,Under $100K,Conservative,Active
